Uniq_ID,Upload_Id,Status,Company,Technology,Concept,Question,Difficulty Level,Suggested Answer,Module
60337dce-30,60337dce,Completed,Sony,LDAP,Authentication/Authorization,No registry image migration,Medium,"Applications use LDAP service accounts to securely programmatically query directory services for authentication, authorization, or user attribute lookups. By using a dedicated service account rather than individual credentials, we maintain auditability and avoid service interruptions during user password rotations. Best practice dictates implementing the Principle of Least Privilege: restrict the account's scope to read-only access within specific organizational units (OUs). In production, always enforce LDAPS (port 636) or StartTLS to encrypt the bind process and transport, preventing credential sniffing or man-in-the-middle attacks.",Networking
60337dce-30,60337dce,Completed,Sony,LDAP,Authentication/Authorization,Why do applications use LDAP service accounts?,Medium,"Applications use LDAP service accounts to decouple authentication from local user management, enabling centralized identity governance. Practically, they provide a non-interactive, programmatic way to query directory attributes or bind to a service without hardcoding human credentials. Best practice dictates using a dedicated service account with 'least privilege' read-only permissions scoped to specific Organizational Units (OUs). Always use LDAPS (port 636) or StartTLS to encrypt credentials in transit, and rotate these service account passwords regularly via vaulting solutions like HashiCorp Vault to prevent credential leakage and audit trails.",Networking
60337dce-12,60337dce,Completed,Sony,Load Balancer,Blue-Green Deployment,"How do Service, EndpointSlice, and kube-proxy work?",Medium,"Traffic shifting happens at the edge via Load Balancer (ELB/ALB) or Reverse Proxy (Nginx/HAProxy) configuration changes. In practice, we update the Target Group or Upstream definition to point to the Green environment's instances. For zero-downtime, we ensure the Green environment is fully warmed and passing health checks before updating the router. If using an Ingress Controller, this is often managed by updating the Service selector or using a weighted traffic split via Service Mesh (Istio/Linkerd) to perform a canary-style cutover, allowing for immediate rollback by reverting the configuration change.",Networking
ba998d5f-10,ba998d5f,Completed,LSE,Load Balancer,Security Hardening,How can we make a Load Balancer secure?,Medium,"Secure load balancers by enforcing TLS 1.2+ with modern cipher suites and offloading SSL termination to inspect traffic. Implement WAF integration for layer 7 protection against OWASP Top 10. Restrict traffic via strict ACLs or security groups, ensuring only public ingress reaches the LB while backend traffic is routed over private subnets. Enable DDoST protection and rate limiting to prevent resource exhaustion. Finally, strictly enforce mutual TLS (mTLS) for backend service communication and rotate certificates frequently using automated managers like cert-manager or Vault to minimize the blast radius of potential compromises.",Networking
d56e7fcc-5,d56e7fcc,Completed,Mphasis,Load Balancers,Blue-Green Deployment,"You have 50 servers running and need to update without downtime, how do you do it",Medium,"Perform a rolling update. Divide the 50 servers into smaller batches, such as five groups of ten. For each batch, remove the servers from the load balancer rotation, update their software, run health checks to verify functionality, and reintegrate them into the load balancer. By processing one batch at a time, you ensure that the majority of servers remain online to handle incoming traffic, maintaining zero downtime throughout the entire deployment process.",Networking
a0fa7a07-4,a0fa7a07,Completed,Amedeus Labs,Load Balancing,Traffic Management,How does the company handle incoming traffic?,Medium,"Companies typically handle incoming traffic using a load balancer (e.g., Nginx, AWS ELB, HAProxy) to distribute requests across multiple backend servers. This ensures high availability, prevents single-server bottlenecks, and enables health checks to route traffic only to operational nodes. For global scaling, DNS-based routing or Content Delivery Networks (CDNs) are often utilized to serve content from the edge. Additionally, ingress controllers in Kubernetes manage external access to cluster services, implementing TLS termination and path-based routing to ensure traffic is directed efficiently and securely to the appropriate microservices.",Networking
60337dce-2,60337dce,Completed,Sony,OpenLDAP,Data Migration,How does traffic gradually move from old version to new version?,Medium,"Use slapcat to export the source database to an LDIF file. Transfer the file, ensure the schema and module configurations match on the new host, then use slapadd to import the data into an initialized database. Best practice: stop the slapd service during export to ensure consistency. Always verify schema compatibility before importing, as version mismatches can break indices. Post-migration, run slapindex to rebuild indices and ensure correct permissions for the openldap user on the new data directory.",Networking
60337dce-2,60337dce,Completed,Sony,OpenLDAP,Data Migration,LDAP is running on Ubuntu and you need to migrate data to Ubuntu 22.04.,Medium,"Use slapcat to export the source database to an LDIF file. Transfer the file to the new node, install the same OpenLDAP version, and verify the schema matches. Stop the destination slapd service and import data using slapadd. Ensure correct file permissions (chown openldap:openldap) on the data directory before restarting the service. For production environments, utilize 'syncrepl' to perform a live migration, minimizing downtime by syncing the provider to the new consumer node before promoting it. Always validate the migration using ldapsearch to confirm data integrity and index consistency.",Networking
31341bc4-2,31341bc4,Completed,DevOn,SSH,Remote Access,How do we establish SSH connection between two Linux machines?,Easy,"To establish an SSH connection, ensure the SSH server (sshd) is running on the target machine. Use the command 'ssh username@remote_host' from the source terminal. For secure, passwordless access, generate an SSH key pair using 'ssh-keygen' on the source machine, then copy the public key to the target using 'ssh-copy-id username@remote_host'. Once copied, you can log in without entering a password. Ensure the target machine's firewall allows traffic on port 22.",Networking
38f1fcd9-9,38f1fcd9,Completed,Eximietas Design,SSL/TLS,Public Key Infrastructure (PKI),SSL certificate creation process.,Medium,"The process begins by generating a Private Key and a Certificate Signing Request (CSR) on the server. The CSR contains the organization's details and the Public Key. This request is sent to a Certificate Authority (CA). The CA validates the identity of the applicant and, upon verification, signs a digital certificate using their own Private Key. This certificate binds the organization's identity to the Public Key. The server then installs this signed certificate, enabling encrypted HTTPS communication between the server and clients, who trust the certificate via the CA's root chain.",Networking
95d26658-24,95d26658,Completed,Sony,TLS,Traffic Management,TLS termination,Medium,"TLS termination involves offloading the cryptographic overhead of decrypting HTTPS traffic from backend application servers to a load balancer, reverse proxy (Nginx/HAProxy), or Ingress controller. This simplifies certificate management, improves performance by allowing backend services to process plain HTTP, and enables centralized traffic inspection. In production, always enforce HSTS, use modern TLS 1.2/1.3 suites, and automate renewal via Cert-Manager or ACME. Ensure end-to-end encryption if internal compliance requires traffic to be re-encrypted (re-encryption mode) before hitting backend pods to meet zero-trust security standards.",Networking
ba998d5f-15,ba998d5f,Completed,LSE,TLS/SSL,Handshake,How does HTTP become HTTPS?,Medium,"HTTP upgrades to HTTPS via the TLS handshake. When a client initiates a connection, it performs a TCP three-way handshake, followed by the TLS negotiation. The client sends a 'ClientHello' with supported ciphers, and the server responds with its SSL certificate. The parties exchange keys to establish an encrypted session using symmetric encryption. In production, always enforce TLS 1.3, use HSTS headers to prevent protocol downgrade attacks, and automate certificate lifecycle management via Cert-Manager or ACME protocols to avoid outages caused by expired certificates.",Networking
9f0d9b73-7,9f0d9b73,Completed,Harman Benz,Traffic Management,Rate Limiting and Traffic Shaping,Do you limit the traffic or allow all traffic to your application at once?,Medium,"We never allow all traffic at once; we implement rate limiting and load shedding to protect system stability. In production, I use a tiered strategy: API Gateways (like Kong or AWS WAF) for initial rate limiting, and service-level circuit breakers (using Istio or resilience4j) to prevent cascading failures. For new deployments, I use Canary releases or Blue-Green strategies to gradually shift traffic. This ensures that if a service hits resource constraints, we degrade gracefully rather than suffering a total outage. Monitoring throughput via RED metrics is key to auto-scaling triggers before reaching those limits.",Networking
95d26658-23,95d26658,Completed,Sony,Transport Layer Security,Authentication Mechanisms,mTLS vs TLS,Medium,"TLS secures communication via server-side certificates, validating the server identity to the client. mTLS extends this by requiring the client to present a valid certificate signed by a trusted CA, enabling mutual authentication. In production, we use mTLS for Zero Trust architectures�specifically in Service Meshes like Istio or Linkerd�to enforce workload-to-workload identity without application-level logic. Practically, mTLS is superior for backend microservices to prevent unauthorized access. The primary operational overhead is managing the internal PKI lifecycle; automating certificate rotation via tools like cert-manager is non-negotiable to avoid massive outages.",Networking
ba998d5f-12,ba998d5f,Completed,LSE,Web Application Firewall,Network Architecture,Where exactly do you attach a WAF?,Medium,"In production, the WAF is best placed at the edge, typically integrated with your CDN or Load Balancer (e.g., AWS WAF on CloudFront/ALB, Cloudflare, or NGINX ingress). For hybrid environments, it should sit behind the public-facing edge proxy but before the application logic. The goal is to terminate SSL and inspect traffic as close to the entry point as possible to mitigate volumetric attacks and scrapers before they impact backend compute resources. Always implement WAF in 'count' mode first to tune false positives before enforcing blocking rules.",Networking
ba998d5f-13,ba998d5f,Completed,LSE,Web Application Firewall (WAF),Deployment Architecture,"Can we attach a WAF to a single application, multiple applications, or at one central point?",Medium,"You can deploy at all three levels, but the choice depends on your security posture and scale. A centralized WAF (e.g., CloudFront/Cloudflare) is cost-effective and provides global DDoS protection. Per-application WAFs (e.g., AWS WAF on ALB or Ingress Controller) are superior for granular compliance, custom rule sets, and teams requiring independent security policies. For production, I prefer a hybrid approach: centralized edge protection for volumetric threats and ingress-level WAFs for fine-tuned, application-specific logic. This reduces blast radius and allows dev teams to manage their own security policies via IaC without impacting global traffic.",Networking
ba998d5f-16,ba998d5f,Completed,LSE,Web Servers / Load Balancers,TLS/SSL Termination,Where do we configure an application to become HTTPS?,Easy,"In production, HTTPS is rarely configured directly on the application runtime. Instead, we terminate TLS at the edge using an Ingress Controller (e.g., Nginx, Traefik), a Cloud Load Balancer (AWS ALB), or a Service Mesh (Istio). You configure the certificate (via cert-manager or ACM) and bind it to port 443 at the infrastructure layer. The traffic is then forwarded to the application via HTTP. This approach centralizes certificate management, offloads CPU-intensive encryption tasks from your app, and simplifies rotation using automated tools like Let's Encrypt.",Networking
cc724c04-11,cc724c04,Completed,HCLTech,Networking,Access Control List (ACL),For this ACL to work where it has to be set?,Easy,"An ACL must be applied to a specific interface on a router or Layer 3 switch. It can be applied in either the inbound or outbound direction. Placing the ACL is critical: Standard ACLs should be placed as close to the destination as possible, while Extended ACLs should be placed as close to the source as possible to prevent unnecessary traffic from traversing the network.",Networking
31341bc4-3,31341bc4,Completed,DevOn,Networking,Port Scanning,How do we look for open ports?,Easy,"Open ports are typically identified using network scanning tools. The most common utility is Nmap, which sends specially crafted packets to target IP addresses and analyzes the responses. By observing flags like SYN/ACK, a scanner can determine if a port is open, closed, or filtered by a firewall. On local systems, commands like 'netstat -tuln' or 'ss -tuln' (on Linux) or 'netstat -ano' (on Windows) allow administrators to view active listening ports and the associated processes. These methods help map the attack surface and verify network service availability.",Networking
38f1fcd9-5,38f1fcd9,Completed,Eximietas Design,Networking,Connectivity Testing,How to check whether a port is listening from outside a VM?,Easy,"To check if a port is listening from outside a VM, use a client-side utility like 'telnet', 'nc' (netcat), or 'curl'. Run 'nc -zv <VM_IP> <port>' or 'telnet <VM_IP> <port>' from your local machine. If the connection is successful, the port is open and reachable. Ensure the VM's firewall (e.g., iptables, ufw, or cloud Security Groups) allows incoming traffic on that specific port. If the connection times out, a firewall is likely blocking the request or the service is not bound to the external network interface.",Networking
95d26658-37,95d26658,Completed,Sony,Networking,Network Address Translation,What is NAT,Easy,"NAT maps private IP addresses to a public one, essential for conserving IPv4 addresses and isolating internal segments. In production, I use it primarily in AWS/GCP to allow private subnets to pull updates or reach external APIs without being directly exposed to the internet. From an SRE perspective, NAT Gateway costs can scale rapidly; we often optimize this by using VPC Endpoints for cloud-native services to bypass NAT transit. Always monitor NAT Gateway bandwidth and error metrics, as throughput limits are a common bottleneck for high-traffic microservices.",Networking
191c2185-5,191c2185,Completed,HiQode,Networking,Routing architecture,What makes a subnet a Private Subnet?,Easy,"A subnet is private not by address space, but by its routing table configuration. It lacks a route to an Internet Gateway (IGW) or Virtual Private Gateway. Traffic destined for the internet must flow through a NAT Gateway or instance located in a public subnet. In production, enforce this via NACLs and security groups to ensure strict isolation. Best practice involves deploying application and database tiers in private subnets, using VPC endpoints for secure connectivity to managed cloud services without traversing the public internet, thereby reducing egress costs and attack surface.",Networking
38f1fcd9-7,38f1fcd9,Completed,Eximietas Design,Apache Kafka,Distributed Event Streaming,Explain Kafka.,Medium,"Apache Kafka is a distributed, fault-tolerant event streaming platform designed for high-throughput data pipelines and real-time streaming analytics. It operates on a publish-subscribe model where producers send records to topics, and consumers process them. Kafka persists data in an immutable, partitioned log, allowing multiple consumers to read streams independently. Its architecture is built on a distributed cluster, ensuring scalability and durability by replicating data across multiple brokers. Kafka serves as a unified backbone for integration, enabling decoupling between data sources and downstream systems in complex enterprise architectures.",Others
7ef0b449-16,7ef0b449,Completed,Mphasis,"Apache Tomcat, JFrog Artifactory",CI/CD Deployment Automation,Consider you are deploying into Apache Tomcat and reading artifacts from JFrog Artifactory.,Medium,"Use a CI tool (Jenkins/GitLab CI) to pull the artifact via JFrog CLI or REST API. In production, avoid manual copying. Instead, use Ansible or Terraform to download the WAR file to the Tomcat `webapps` directory. Implement atomic deployments by deploying to a timestamped folder and updating a symlink to prevent downtime during extraction. Ensure context reload is handled by Tomcat's Manager API or a service restart script. Always verify artifact checksums against Artifactory metadata before deployment to ensure integrity and security.",Others
7ef0b449-15,7ef0b449,Completed,Mphasis,"Apache Tomcat, JFrog Artifactory",CI/CD Deployment Pipeline,Tomcat + JFrog Artifactory Deployment,Medium,"In production, treat Artifactory as the 'single source of truth'. Build your WAR/EAR artifacts in CI (Jenkins/GitHub Actions), then push them to Artifactory using a unique versioning scheme (e.g., semantic versioning). For deployment, use an automated script or configuration management tool (Ansible) to pull the specific artifact version from Artifactory via API using credentials stored in a Secret Manager. Finally, deploy by stopping Tomcat, clearing the 'webapps' directory, copying the new artifact, and restarting. Use Blue/Green deployment patterns to minimize downtime and ensure easy rollback to the previous version stored in Artifactory.",Others
393aaebb-10,393aaebb,Completed,Cognizant,API,Throttling,How to handle API rate limits,Medium,"Handle rate limits by implementing an exponential backoff strategy with jitter to avoid request spikes. Monitor HTTP headers like 'X-RateLimit-Remaining' and 'Retry-After' to pause requests intelligently. Use local client-side queuing or token bucket algorithms to pace outbound traffic. If limits are exceeded, gracefully queue requests or return a 429 Too Many Requests status to the user. Leveraging distributed caching like Redis can help synchronize rate tracking across multiple service instances to ensure global compliance with upstream provider constraints.",Others
393aaebb-11,393aaebb,Completed,Cognizant,API,Observability,Why is logging important in an API client?,Easy,"Logging is essential in an API client for debugging, auditing, and performance monitoring. It provides a historical record of requests and responses, allowing developers to diagnose failures, identify latency bottlenecks, and troubleshoot authentication issues. By logging metadata such as status codes, payload structures, and error messages, teams can correlate client-side behavior with server-side events. Furthermore, logs are critical for security auditing, ensuring that interactions are traceable and compliant. Without logging, identifying the root cause of transient network issues or unexpected API behavior becomes significantly more difficult, leading to longer resolution times.",Others
393aaebb-16,393aaebb,Completed,Cognizant,API Gateway,Microservices Architecture,API Gateway,Medium,"An API Gateway acts as a single entry point for a system of microservices. It sits between clients and internal services, handling tasks like request routing, authentication, rate limiting, and SSL termination. By centralizing these cross-cutting concerns, it simplifies client interactions and enhances security. It enables protocols translation (e.g., HTTP to gRPC), request transformation, and monitoring. Instead of clients calling multiple individual services, they communicate with the gateway, which aggregates responses and forwards requests, effectively decoupling the frontend from the complex backend infrastructure.",Others
95d26658-27,95d26658,Completed,Sony,API/Microservices,Resiliency & Error Handling,What happens when API server is not responding,Medium,"When an API is unresponsive, I prioritize preventing cascading failures. In production, we implement circuit breakers (e.g., Resilience4j) to fail fast and avoid thread exhaustion. Clients should use retries with exponential backoff and jitter to prevent thundering herd issues. We monitor latency and 5xx rates via Service Mesh (Istio/Linkerd) or API Gateways, which trigger automated circuit tripping. If the outage persists, we use bulkhead patterns to isolate impacted services. Crucially, we ensure observability alerts (Prometheus/Grafana) trigger automated runbooks or graceful degradation, returning cached or default responses to maintain partial system availability.",Others
79f66d47-2,79f66d47,Completed,Mphasis,Application Security,Security Testing,Difference between SAST and DAST,Easy,"SAST (Static Application Security Testing) is 'white-box' testing; it examines source code, byte code, or binaries for vulnerabilities without executing the program, typically early in the SDLC. DAST (Dynamic Application Security Testing) is 'black-box' testing; it interacts with a running application from the outside to identify vulnerabilities like SQL injection or cross-site scripting in real-time. While SAST finds flaws in the code structure and logic during development, DAST identifies runtime issues and configuration errors in a deployed environment.",Others
7ef0b449-13,7ef0b449,Completed,Mphasis,Application Server,Runtime Environment,Application Server,Medium,"An app server provides the runtime environment for business logic (e.g., Tomcat, JBoss). In modern production, we treat them as immutable artifacts. Best practice is to run them as minimal containers, offloading traffic management (SSL/TLS, load balancing) to an Ingress Controller or Service Mesh. Focus on graceful shutdowns, health check endpoints (/healthz), and externalizing configuration via environment variables or Secret stores. Avoid persistent local storage; rely on sidecars for logging (Fluentd) and distributed tracing (OpenTelemetry) to ensure observability and scalability in orchestrated environments like Kubernetes.",Others
7ef0b449-14,7ef0b449,Completed,Mphasis,Application Server,Runtime Environment,What application server are you using?,Easy,"We primarily use Nginx or HAProxy as reverse proxies fronting application-specific runtimes like Gunicorn for Python, Go�s net/http server, or embedded Tomcat for Java. In Kubernetes environments, we bypass traditional application servers in favor of containerized runtimes, offloading traffic management to an Ingress Controller like Istio or NGINX Ingress. We prioritize lightweight, non-blocking I/O architectures to maximize concurrency. Best practice dictates keeping the application layer stateless, delegating authentication and TLS termination to the edge or service mesh to ensure horizontal scalability and easier lifecycle management.",Others
5bb60b1d-25,5bb60b1d,Completed,PwC,Automation,Event-Driven Automation / Remediation,Daily you are getting 10 alerts for all the metrics configured and for each alert a similar trigger should generate automatically. How can you do it?,Medium,"To automate repetitive alert responses, I would implement an event-driven automation framework like StackStorm, Ansible Rulebook, or custom serverless functions (AWS Lambda/K8s operators). I would configure the monitoring tool (Prometheus/Datadog) to send webhooks to an automation engine. The engine parses the payload, executes the standardized runbook, and triggers the follow-up action. Crucially, I would implement a 'limit-and-throttle' mechanism to prevent infinite loops, ensure idempotent scripts, and add an approval gate for high-impact actions. This reduces MTTR and prevents alert fatigue by automating the 'first-response' phase of incident management.",Others
d56e7fcc-16,d56e7fcc,Completed,Mphasis,AWS+Ansible+Python,Automation Workflow,List automation tasks in above AWS + Ansible + Python case,Medium,"Automation tasks include: 1. Provisioning AWS infrastructure (EC2, VPC, RDS) using Ansible modules or Python Boto3 scripts. 2. Configuring OS settings and installing software via Ansible playbooks. 3. Managing secrets and dynamic inventory fetching from AWS systems. 4. Orchestrating multi-tier application deployments using Ansible roles triggered by Python CI/CD pipelines. 5. Automating scaling and monitoring alerts by executing Python scripts via Ansible's local_action. 6. Implementing automated cleanup routines for unattached EBS volumes or snapshots to optimize costs. 7. Ensuring compliance by automating security group audits and patching schedules across the cloud environment.",Others
52d71af1-42,52d71af1,Completed,Harman Benz,Azure,Networking,App service is residing in private subnet and want to give access how can you give,Medium,"To expose an App Service in a private subnet, implement VNet Integration with a Private Endpoint. This ensures all inbound traffic remains private and traverses through Azure Private Link. Configure a Private DNS Zone for internal resolution. If external access is required, deploy an Application Gateway with WAF in a public subnet, routing traffic to the App Service's private IP. For egress, ensure NAT Gateway or Azure Firewall is configured if the app needs to reach public endpoints. Avoid public IP exposure on the App Service plan directly.",Others
a0fa7a07-8,a0fa7a07,Completed,Amedeus Labs,Blockchain,Cryptoeconomics,How do you calculate the fork value?,Hard,"Fork value is typically calculated by estimating the market capitalization of the new chain post-split. It is derived by taking the number of tokens distributed to holders of the original chain and multiplying that sum by the token's trading price on exchanges. Alternatively, it can be modeled by analyzing the proportion of hash rate, liquidity, and active user migration from the parent chain to the fork. Valuation remains speculative until market equilibrium is reached, as it depends heavily on investor sentiment, exchange support, and the perceived utility of the new protocol's governance or technical changes.",Others
60337dce-3,60337dce,Completed,Sony,Change Data Capture (CDC),Blue-Green Migration,How does Kubernetes actually shift traffic internally?,Hard,"To ensure zero data loss with live traffic, use a CDC-based replication pattern. 1. Deploy the new target environment. 2. Establish a continuous replication pipeline (e.g., Debezium/Kafka) to stream changes from the source to the target in real-time. 3. Monitor lag; once caught up, perform a final application cutover by redirecting traffic to the target via DNS/Load Balancer. 4. Keep the replication pipeline running in reverse for a fallback period. This decouples the migration from downtime, ensuring consistency while maintaining service availability throughout the transition.",Others
60337dce-3,60337dce,Completed,Sony,Change Data Capture (CDC),Zero-Downtime Migration,Live data is continuously generated; how will you migrate without losing data?,Hard,"I use a dual-write or CDC-based approach. 1) Deploy a CDC pipeline (e.g., Debezium) to stream ongoing changes to the target database in real-time. 2) Perform a consistent snapshot/backup of the source to seed the target. 3) Monitor replication lag; once the target catches up, switch application traffic to the new DB. 4) Run in 'read-only' mode on the source briefly to ensure zero-delta transition. If latency allows, use a proxy layer (e.g., PgBouncer or Envoy) to abstract the connection string for seamless traffic cutover without application restarts.",Others
2bf4fba4-14,2bf4fba4,Completed,Mphasis,CI/CD/IaC,Automation Strategy,Real-world automation examples and operational improvements.,Medium,"In production, I replaced manual environment provisioning with Terraform modules and automated configuration via Ansible, reducing deployment time by 60%. I implemented 'Self-healing' using Kubernetes Liveness/Readiness probes coupled with Prometheus alerts to auto-restart failed pods. For operational toil, I scripted log rotation and snapshot cleanup using Python/Boto3, preventing storage-related outages. My core philosophy is 'Automate everything from infra to delivery.' I enforce CI/CD guardrails (Linting, Security scans, Unit tests) to ensure reliability. Always treat infrastructure as immutable to prevent configuration drift and maintain auditability.",Others
2662cb3c-7,2662cb3c,Completed,Nokia,Cloud Native Computing Foundation,Cloud Computing,What is CNCF?,Easy,"The Cloud Native Computing Foundation (CNCF) is a non-profit organization under the Linux Foundation dedicated to making cloud-native computing ubiquitous. It serves as a vendor-neutral home for many open-source projects, including Kubernetes, Prometheus, and Envoy. The CNCF focuses on cloud-native technology, which uses an open-source software stack to deploy applications as microservices, packaging each part into its own container and dynamically orchestrating those containers to optimize resource utilization. By fostering a collaborative ecosystem, the CNCF promotes interoperability and standardization in modern infrastructure.",Others
2662cb3c-9,2662cb3c,Completed,Nokia,Cloud Native Computing Foundation (CNCF),Cloud Native Ecosystem,List tools that come under CNCF.,Easy,"The CNCF hosts a vast landscape of open-source projects categorized by their function. Notable examples include Kubernetes for container orchestration, Prometheus for monitoring and alerting, Helm for package management, and Envoy for service proxying. Other significant projects include containerd and CRI-O for container runtimes, Fluentd for log aggregation, Jaeger for distributed tracing, and Vitess for database clustering. These tools collectively form the foundation of cloud-native infrastructure, enabling the development and deployment of scalable, containerized applications in dynamic environments.",Others
2bf4fba4-4,2bf4fba4,Completed,Mphasis,Cloud Platform (AWS/GCP/Azure),FinOps,Handling cloud/infrastructure budget alerts and cost optimization.,Medium,"I approach this by setting hierarchical budget alerts at the service level, integrated via SNS/Slack for immediate visibility. Practically, I utilize Tagging Policies for granular cost attribution. For optimization, I analyze compute usage patterns to implement Rightsizing (e.g., graviton instances) and automate the lifecycle of EBS snapshots and idle resources via TTL-based cleaner scripts. I prioritize Reserved Instances or Savings Plans for steady-state workloads and leverage Spot Instances for non-critical batch processing. Proactive management involves monthly cost-anomaly reporting and CI/CD integration to enforce resource tagging during provisioning.",Others
2bf4fba4-3,2bf4fba4,Completed,Mphasis,CloudCostManagement,FinOps,How do you face the error: Budget?,Medium,"I address budget overruns by implementing a multi-layered FinOps approach. First, I enforce 'Shift Left' cost visibility by integrating tags and labels for granular allocation. I set up automated anomaly detection using tools like AWS Budgets or GCP Cost Explorer with SNS/Slack alerts for real-time spend tracking. Architecturally, I optimize by rightsizing instances, adopting Reserved Instances or Savings Plans, and automating resource cleanup via TTL policies on dev environments. Finally, I move transient workloads to Spot instances to maximize utilization-to-cost efficiency without sacrificing availability for production services.",Others
2662cb3c-10,2662cb3c,Completed,Nokia,CNCF landscape tools,Cloud-native ecosystem proficiency,How many of those CNCF tools have you used?,Medium,"This question assesses the breadth and depth of your hands-on experience within the cloud-native ecosystem. When answering, categorize the tools you have used by their function (e.g., orchestration with Kubernetes, observability with Prometheus, or service mesh with Istio). Mention specific versions or complex implementations to demonstrate mastery. If your experience is limited to specific areas, emphasize your ability to quickly adapt and learn new tools, highlighting the underlying architectural patterns or principles you have mastered that allow for easy cross-tool migration.",Others
4f93ce20-3,4f93ce20,Completed,Amedeus Labs,Cybersecurity,Vulnerability Management,CVE found � what fixes would you do?,Medium,"First, assess the CVE's severity (CVSS score) and exploitability. Prioritize patching based on business impact and asset criticality. Follow these steps: 1. Identify affected systems. 2. Test patches in a staging environment to prevent regression. 3. Deploy patches according to the change management process. 4. If a patch is unavailable, apply mitigations like disabling vulnerable services, modifying firewall rules, or implementing WAF signatures. 5. Perform a vulnerability scan to verify the fix. 6. Document the remediation and update the incident log for compliance and future audit trails.",Others
4f93ce20-2,4f93ce20,Completed,Amedeus Labs,Cybersecurity,Incident Response,How do you manage security issues?,Medium,"I follow a structured incident response framework: identification, containment, eradication, and recovery. First, I isolate affected systems to prevent lateral movement. Next, I analyze logs and forensics to determine the root cause. I then remediate the vulnerability by patching or reconfiguring systems. Throughout the process, I maintain clear documentation and communicate with stakeholders. Finally, I conduct a post-incident review to identify lessons learned, update security protocols, and implement preventative measures to ensure the issue does not recur, maintaining a proactive stance on system hardening.",Others
3cb4cdcd-10,3cb4cdcd,Completed,Amedeus Labs,Data Storage,Snapshotting,What if new traffic/data is coming during backup?,Medium,"To ensure consistency while new data arrives during a backup, systems typically use 'snapshot' technology. A snapshot creates a point-in-time, read-only view of the data. Modern systems employ Copy-on-Write (CoW) mechanisms: when new data attempts to overwrite an existing block, the system saves the original block to a separate location before applying the change. This allows the backup process to continue reading the stable, original state of the data while the live system remains fully operational and responsive to incoming traffic, ensuring both data integrity and zero downtime.",Others
bf91ef59-9,bf91ef59,Completed,Wipro,Database,Connectivity Troubleshooting,"In a backend connectivity issue with DB, what error will you get?",Easy,"In production, connectivity failures typically manifest as a 'Connection Timeout,' 'Connection Refused,' or 'Pool Exhaustion' error. These indicate issues like firewall blocks, DB service downtime, or exhausted connection limits. For senior engineers, I look beyond the stack trace: I investigate TCP handshake latency, stale connection pool leaks, and DNS resolution failures. Best practices include implementing robust health checks, utilizing circuit breakers to prevent cascading failures, ensuring proper pool sizing with 'maxLifetime' settings, and analyzing metrics like wait times to differentiate between network latency and DB engine load.",Others
bf91ef59-18,bf91ef59,Completed,Wipro,Database,Performance Troubleshooting,Troubleshooting issues related to DB?,Hard,"Start with the 'wait events' to identify if the bottleneck is I/O, locking, or CPU. Analyze execution plans for sudden regressions, often caused by stale statistics or parameter sniffing. Check long-running queries via slow query logs or APM tools. For high concurrency, inspect deadlocks and lock contention. In production, prioritize non-blocking diagnostic snapshots (e.g., pg_stat_statements or SQL Server DMV) to avoid performance impact. Best practice involves correlating DB metrics with OS-level resource saturation (IOPS/latency/memory pressure) and verifying recent deployments or index fragmentation before suggesting schema changes or hardware scaling.",Others
a0fa7a07-2,a0fa7a07,Completed,Amedeus Labs,DevOps,Environment Management,How do you manage environments?,Medium,"I manage environments using Infrastructure as Code (IaC) tools like Terraform or CloudFormation to ensure consistency across development, staging, and production. I utilize configuration management tools like Ansible to maintain environment-specific variables and secrets, often integrated with a CI/CD pipeline for automated deployments. To ensure isolation and portability, I leverage containerization via Docker and orchestration with Kubernetes. Environment parity is maintained by using identical base images and configurations, while environment-specific parameters are injected via environment variables or secret management services like HashiCorp Vault, ensuring security and reproducibility throughout the software development lifecycle.",Others
4f93ce20-7,4f93ce20,Completed,Amedeus Labs,DevOps,Configuration Management,How does configuration change for each machine?,Medium,"Configuration management tools like Ansible, Puppet, or Chef handle machine-specific settings using variables and templates. Instead of manual changes, you define a base configuration and inject environment-specific data through inventory files, group variables, or external key-value stores like HashiCorp Consul. These tools use templating engines (e.g., Jinja2) to dynamically render config files based on the target host's metadata. This ensures consistency, enables version control, and allows for automated scaling by decoupling the application logic from the underlying infrastructure configuration.",Others
a0fa7a07-10,a0fa7a07,Completed,Amedeus Labs,DevOps,Infrastructure as Code,How frequently do you create Dev environments?,Easy,"This question assesses your experience with automated environment provisioning. An ideal answer highlights the use of Infrastructure as Code (e.g., Terraform, Ansible) to create environments on-demand for every new feature branch or task. Mention that creating environments is frequent and automated to ensure consistency, reduce configuration drift, and allow developers to test in production-like settings. If you use ephemeral environments, emphasize how this accelerates the CI/CD pipeline and minimizes downtime for integration testing.",Others
